Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GLD,GYLD,IEF,IEV,IVV,IYR,RWX,SHY,TLT,GAL
1/2/2001,,,,,,37.109146,,,,23.963516,91.929726,17.595884,,,,
1/3/2001,,,,,,38.795929,,,,25.257786,96.506134,17.80619,,,,
1/4/2001,,,,,,36.898319,,,,24.120401,95.412231,17.689356,,,,
1/5/2001,,,,,,36.687458,,,,24.355719,92.655258,17.490726,,,,
1/8/2001,,,,,,36.898319,,,,24.041958,92.800346,17.467367,,,,
1/9/2001,,,,,,36.687458,,,,23.728191,92.822678,17.549147,,,,
1/10/2001,,,,,,36.476612,,,,23.355606,94.128639,17.467367,,,,
1/11/2001,,,,,,35.422379,,,,23.963516,94.630913,17.490726,,,,
1/12/2001,,,,,,35.422379,,,,24.01745,94.385353,17.514091,,,,
1/16/2001,,,,,,36.05492,,,,23.590929,94.776016,17.52578,,,,
1/17/2001,,,,,,36.687458,,,,23.924292,95.244858,17.600557,,,,
1/18/2001,,,,,,37.741695,,,,24.100788,96.32756,17.549147,,,,
1/19/2001,,,,,,37.109146,,,,23.924292,95.992706,17.619247,,,,
1/22/2001,,,,,,37.32,,,,23.512487,96.093094,17.595884,,,,
1/23/2001,,,,,,37.32,,,,23.610535,97.097733,17.75946,,,,
1/24/2001,,,,,,36.898319,,,,23.532097,97.544212,17.817869,,,,
1/25/2001,,,,,,36.898319,,,,23.669369,97.019585,17.841244,,,,
1/26/2001,,,,,,36.476612,,,,23.492878,96.986115,17.829561,,,,
1/29/2001,,,,,,37.210358,,,,23.500721,97.510696,17.841244,,,,
1/30/2001,,,,,,37.345299,,,,23.710938,98.417923,17.911343,,,,
1/31/2001,,,,,,37.109146,,,,24.002739,97.796417,17.829561,,,,
2/1/2001,,,,,,37.244087,,,,23.996458,98.425049,17.841244,,,,
2/2/2001,,,,,,36.738064,,,,23.795652,96.432014,17.771141,,,,
2/5/2001,,,,,,36.535652,,,,23.73918,96.73204,17.782824,,,,
2/6/2001,,,,,,36.501915,,,,23.626228,96.753464,17.736086,,,,
2/7/2001,,,,,,35.928402,,,,23.437965,96.074867,17.630932,,,,
2/8/2001,,,,,,35.860935,,,,23.117929,95.189011,17.619247,,,,
2/9/2001,,,,,,35.928402,,,,22.9485,94.224655,17.451004,,,,
2/12/2001,,,,,,35.860935,,,,23.27795,95.146149,17.441658,,,,
2/13/2001,,,,,,36.029613,,,,22.669249,94.617516,17.460352,,,,
2/14/2001,,,,,,35.72599,,,,22.63788,94.210342,17.511766,,,,
2/15/2001,,,,,,36.265755,,,,22.587675,95.010422,17.574854,,,,
2/16/2001,,,,,,35.422379,,,,22.214296,93.188805,17.537462,,,,
